[7]				[2]		
[0]				[1]		
[5]				[1]		
[3]				[2]		
[7]				[6]		
[0]				[5]		
[5]				[5]		
[3]				[6]		
[7]				[10]		
[0]				[9]		
[5]				[9]		
[3]				[10]		
[7]				[14]		
[0]				[13]		
[5]				[13]		
[3]				[14]		
[7]				[18]		
[0]				[17]		
[5]				[17]		
[3]				[18]		
___________________________
Simulation Topology [1:8]
___________________________
From 	  To 		Length
___________________________
  0	 | 	4	 | 	4,00
  0	 | 	14	 | 	11,18
  0	 | 	18	 | 	15,13
  1	 | 	8	 | 	11,40
  1	 | 	12	 | 	14,76
  1	 | 	16	 | 	18,38
  2	 | 	3	 | 	2,24
  2	 | 	4	 | 	5,39
  2	 | 	8	 | 	9,22
  2	 | 	12	 | 	13,15
  3	 | 	5	 | 	4,24
  3	 | 	6	 | 	3,61
  3	 | 	19	 | 	16,00
  4	 | 	14	 | 	7,28
  5	 | 	6	 | 	5,00
  5	 | 	8	 | 	8,60
  6	 | 	17	 | 	13,00
  7	 | 	9	 | 	4,24
  7	 | 	19	 | 	12,00
  8	 | 	9	 | 	7,07
  9	 | 	10	 | 	5,00
  9	 | 	12	 | 	8,60
  10	 | 	11	 | 	2,24
  11	 | 	12	 | 	5,66
  11	 | 	17	 | 	7,62
  13	 | 	15	 | 	3,16
  13	 | 	18	 | 	6,40
  14	 | 	15	 | 	2,24
  14	 | 	16	 | 	5,39
  18	 | 	19	 | 	2,24
___________________________
Simulation Topology [1:9]
___________________________
From 	  To 		Length
___________________________
  0	 | 	4	 | 	4,00
  0	 | 	14	 | 	11,18
  0	 | 	18	 | 	15,13
  1	 | 	8	 | 	11,40
  1	 | 	12	 | 	14,76
  1	 | 	16	 | 	18,38
  2	 | 	3	 | 	2,24
  2	 | 	4	 | 	5,39
  2	 | 	8	 | 	9,22
  2	 | 	12	 | 	13,15
  3	 | 	5	 | 	4,24
  3	 | 	6	 | 	3,61
  3	 | 	19	 | 	16,00
  4	 | 	14	 | 	7,28
  5	 | 	6	 | 	5,00
  5	 | 	8	 | 	8,60
  6	 | 	17	 | 	13,00
  7	 | 	9	 | 	4,24
  7	 | 	19	 | 	12,00
  8	 | 	9	 | 	7,07
  9	 | 	10	 | 	5,00
  9	 | 	12	 | 	8,60
  10	 | 	11	 | 	2,24
  11	 | 	12	 | 	5,66
  11	 | 	17	 | 	7,62
  13	 | 	15	 | 	3,16
  13	 | 	18	 | 	6,40
  14	 | 	15	 | 	2,24
  14	 | 	16	 | 	5,39
  18	 | 	19	 | 	2,24
  7	 | 	15	 | 	8,00
___________________________
