Simulation Topology 1
___________________________
Simulation Topology 2
___________________________
[6]				[3]		
[4]				[1]		
[9]				[1]		
[0]				[4]		
[4]				[4]		
[6]				[8]		
[3]				[8]		
[9]				[13]		
[3]				[15]		
[1]				[12]		
[6]				[15]		
[1]				[19]		
[0]				[16]		
[6]				[17]		
[9]				[17]		
[0]				[21]		
[4]				[21]		
[2]				[22]		
[7]				[20]		
[6]				[26]		
___________________________
Simulation Topology [2:9]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,83
  0	 | 	2	 | 	3,61
  0	 | 	3	 | 	6,08
  0	 | 	6	 | 	5,83
  0	 | 	11	 | 	16,76
  0	 | 	15	 | 	18,97
  1	 | 	2	 | 	5,00
  2	 | 	7	 | 	12,00
  2	 | 	9	 | 	13,60
  2	 | 	10	 | 	14,32
  3	 | 	4	 | 	4,00
  3	 | 	5	 | 	7,21
  3	 | 	10	 | 	12,53
  3	 | 	11	 | 	15,03
  3	 | 	13	 | 	14,32
  4	 | 	5	 | 	4,47
  6	 | 	9	 | 	4,47
  6	 | 	10	 | 	7,62
  6	 | 	12	 | 	8,54
  7	 | 	10	 | 	3,61
  7	 | 	12	 | 	9,49
  7	 | 	13	 | 	5,00
  8	 | 	9	 | 	3,61
  8	 | 	11	 | 	4,47
  8	 | 	19	 | 	11,40
  9	 | 	10	 | 	5,83
  9	 | 	12	 | 	4,12
  10	 | 	12	 | 	6,08
  11	 | 	12	 | 	3,16
  11	 | 	13	 | 	5,39
  11	 | 	16	 | 	3,61
  12	 | 	14	 | 	9,06
  13	 | 	14	 | 	3,00
  13	 | 	18	 | 	3,16
  14	 | 	19	 | 	9,49
  15	 | 	17	 | 	2,24
  15	 | 	18	 | 	7,07
  15	 | 	19	 | 	7,81
  16	 | 	17	 | 	2,24
___________________________
