Simulation Topology 1
___________________________
[1]				[0]		
[0]				[3]		
[8]				[6]		
[1]				[10]		
[8]				[8]		
[5]				[8]		
[6]				[10]		
[0]				[12]		
[3]				[13]		
[4]				[16]		
[9]				[16]		
[2]				[23]		
[8]				[20]		
[5]				[22]		
[1]				[27]		
[1]				[32]		
[8]				[35]		
[7]				[33]		
[4]				[35]		
[4]				[37]		
___________________________
Simulation Topology [1:7]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	3,16
  0	 | 	2	 | 	9,22
  0	 | 	6	 | 	11,18
  0	 | 	9	 | 	16,28
  0	 | 	17	 | 	33,54
  1	 | 	4	 | 	9,43
  1	 | 	8	 | 	10,44
  1	 | 	13	 | 	19,65
  2	 | 	4	 | 	2,00
  2	 | 	5	 | 	3,61
  2	 | 	8	 | 	8,60
  2	 | 	16	 | 	29,00
  2	 | 	18	 | 	29,27
  3	 | 	4	 | 	7,28
  3	 | 	5	 | 	4,47
  3	 | 	11	 | 	13,04
  3	 | 	12	 | 	12,21
  3	 | 	14	 | 	17,00
  3	 | 	15	 | 	22,00
  4	 | 	12	 | 	12,00
  4	 | 	16	 | 	27,00
  5	 | 	17	 | 	25,08
  6	 | 	19	 | 	27,07
  7	 | 	9	 | 	5,66
  7	 | 	19	 | 	25,32
  8	 | 	9	 | 	3,16
  9	 | 	10	 | 	5,00
  9	 | 	12	 | 	5,66
  9	 | 	14	 | 	11,40
  10	 | 	13	 | 	7,21
  10	 | 	15	 | 	17,89
  11	 | 	12	 | 	6,71
  11	 | 	16	 | 	13,42
  12	 | 	16	 | 	15,00
  14	 | 	15	 | 	5,00
  14	 | 	19	 | 	10,44
  15	 | 	18	 | 	4,24
  16	 | 	19	 | 	4,47
___________________________
Simulation Topology [1:8]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	3,16
  0	 | 	2	 | 	9,22
  0	 | 	6	 | 	11,18
  0	 | 	9	 | 	16,28
  0	 | 	17	 | 	33,54
  1	 | 	4	 | 	9,43
  1	 | 	8	 | 	10,44
  1	 | 	13	 | 	19,65
  2	 | 	4	 | 	2,00
  2	 | 	5	 | 	3,61
  2	 | 	8	 | 	8,60
  2	 | 	16	 | 	29,00
  2	 | 	18	 | 	29,27
  3	 | 	4	 | 	7,28
  3	 | 	5	 | 	4,47
  3	 | 	11	 | 	13,04
  3	 | 	12	 | 	12,21
  3	 | 	14	 | 	17,00
  3	 | 	15	 | 	22,00
  4	 | 	12	 | 	12,00
  4	 | 	16	 | 	27,00
  5	 | 	17	 | 	25,08
  6	 | 	19	 | 	27,07
  7	 | 	9	 | 	5,66
  7	 | 	19	 | 	25,32
  8	 | 	9	 | 	3,16
  9	 | 	10	 | 	5,00
  9	 | 	12	 | 	5,66
  9	 | 	14	 | 	11,40
  10	 | 	13	 | 	7,21
  10	 | 	15	 | 	17,89
  11	 | 	12	 | 	6,71
  11	 | 	16	 | 	13,42
  12	 | 	16	 | 	15,00
  14	 | 	15	 | 	5,00
  14	 | 	19	 | 	10,44
  15	 | 	18	 | 	4,24
  16	 | 	19	 | 	4,47
  12	 | 	13	 | 	3,61
___________________________
Simulation Topology [1:9]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	3,16
  0	 | 	2	 | 	9,22
  0	 | 	6	 | 	11,18
  0	 | 	9	 | 	16,28
  0	 | 	17	 | 	33,54
  1	 | 	4	 | 	9,43
  1	 | 	8	 | 	10,44
  1	 | 	13	 | 	19,65
  2	 | 	4	 | 	2,00
  2	 | 	5	 | 	3,61
  2	 | 	8	 | 	8,60
  2	 | 	16	 | 	29,00
  2	 | 	18	 | 	29,27
  3	 | 	4	 | 	7,28
  3	 | 	5	 | 	4,47
  3	 | 	11	 | 	13,04
  3	 | 	12	 | 	12,21
  3	 | 	14	 | 	17,00
  3	 | 	15	 | 	22,00
  4	 | 	12	 | 	12,00
  4	 | 	16	 | 	27,00
  5	 | 	17	 | 	25,08
  6	 | 	19	 | 	27,07
  7	 | 	9	 | 	5,66
  7	 | 	19	 | 	25,32
  8	 | 	9	 | 	3,16
  9	 | 	10	 | 	5,00
  9	 | 	12	 | 	5,66
  9	 | 	14	 | 	11,40
  10	 | 	13	 | 	7,21
  10	 | 	15	 | 	17,89
  11	 | 	12	 | 	6,71
  11	 | 	16	 | 	13,42
  12	 | 	16	 | 	15,00
  14	 | 	15	 | 	5,00
  14	 | 	19	 | 	10,44
  15	 | 	18	 | 	4,24
  16	 | 	19	 | 	4,47
  12	 | 	13	 | 	3,61
  14	 | 	16	 | 	10,63
___________________________
Simulation Topology 2
___________________________
[1]				[5]		
[6]				[6]		
[8]				[7]		
