Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:7];25;43;2,59;3,76;2;6;3,44;
Topology [1:8];25;44;2,58;3,74;2;6;3,52;
Topology [1:9];25;45;2,48;3,59;2;6;3,60;
Topology [1:10];25;46;2,46;3,51;2;6;3,68;
Topology [1:11];25;47;2,41;3,45;2;6;3,76;
Topology [2:0];25;47;2,00;3,00;1;8;3,76;
Topology [2:1];25;48;2,00;3,00;1;9;3,84;
Topology [2:2];25;49;2,00;3,00;2;9;3,92;
Topology [2:3];25;50;2,00;3,00;2;9;4,00;
Topology [2:4];25;51;2,00;3,00;2;9;4,08;
Topology [2:5];25;52;2,00;3,00;2;9;4,16;
Topology [2:6];25;53;2,00;3,00;2;9;4,24;
Topology [2:7];25;54;2,00;3,00;2;9;4,32;
Topology [2:8];25;55;2,00;3,00;2;9;4,40;
Topology [2:9];25;56;2,00;3,00;2;9;4,48;
Topology [2:10];25;57;2,00;3,00;2;9;4,56;
Topology [2:11];25;58;2,00;3,00;2;9;4,64;
