Simulation Topology 1
___________________________
Simulation Topology 2
___________________________
[5]				[1]		
[5]				[10]		
[9]				[11]		
[3]				[11]		
[0]				[11]		
[7]				[15]		
[0]				[15]		
[2]				[13]		
[7]				[12]		
[9]				[15]		
[3]				[21]		
[7]				[21]		
[8]				[19]		
[0]				[23]		
[6]				[19]		
[3]				[27]		
[2]				[29]		
[7]				[24]		
[7]				[28]		
[0]				[40]		
[4]				[40]		
[8]				[40]		
[3]				[46]		
[7]				[43]		
[3]				[42]		
[0]				[42]		
[2]				[44]		
[9]				[47]		
[0]				[50]		
[5]				[53]		
___________________________
Simulation Topology [2:12]
___________________________
From 	  To 		Length
___________________________
  0	 | 	8	 | 	11,18
  0	 | 	9	 | 	14,56
  0	 | 	13	 | 	22,56
  0	 | 	24	 | 	41,05
  1	 | 	2	 | 	4,12
  1	 | 	3	 | 	2,24
  1	 | 	12	 | 	9,49
  1	 | 	15	 | 	17,12
  1	 | 	21	 | 	30,15
  1	 | 	24	 | 	32,06
  2	 | 	15	 | 	17,09
  2	 | 	16	 | 	19,31
  3	 | 	11	 | 	10,77
  3	 | 	18	 | 	17,46
  4	 | 	7	 | 	2,83
  4	 | 	13	 | 	12,00
  5	 | 	16	 | 	14,87
  5	 | 	17	 | 	9,00
  5	 | 	19	 | 	25,96
  5	 | 	25	 | 	27,89
  5	 | 	27	 | 	32,06
  5	 | 	29	 | 	38,05
  6	 | 	8	 | 	7,62
  7	 | 	8	 | 	5,10
  8	 | 	10	 | 	9,85
  9	 | 	10	 | 	8,49
  9	 | 	23	 | 	28,07
  10	 | 	11	 | 	4,00
  10	 | 	16	 | 	8,06
  10	 | 	17	 | 	5,00
  10	 | 	26	 | 	23,02
  11	 | 	24	 | 	21,38
  12	 | 	21	 | 	21,00
  14	 | 	20	 | 	21,10
  14	 | 	28	 | 	31,58
  15	 | 	16	 | 	2,24
  16	 | 	17	 | 	7,07
  16	 | 	19	 | 	11,18
  17	 | 	23	 | 	19,00
  18	 | 	28	 | 	23,09
  19	 | 	20	 | 	4,00
  21	 | 	22	 | 	7,81
  21	 | 	23	 | 	3,16
  21	 | 	28	 | 	12,81
  22	 | 	26	 | 	2,24
