Simulation Topology 1
___________________________
[0]				[7]		
[1]				[2]		
[4]				[23]		
[4]				[28]		
[6]				[24]		
[5]				[30]		
[1]				[27]		
[8]				[27]		
[9]				[24]		
[0]				[24]		
[5]				[36]		
[3]				[37]		
[8]				[46]		
[1]				[47]		
[6]				[53]		
[5]				[55]		
[4]				[51]		
[6]				[48]		
[9]				[61]		
[0]				[57]		
[9]				[63]		
[8]				[59]		
[0]				[60]		
[0]				[65]		
[4]				[74]		
[1]				[74]		
[7]				[73]		
[9]				[78]		
[12]				[2]		
[10]				[6]		
[17]				[2]		
[12]				[0]		
[11]				[4]		
[13]				[11]		
[15]				[9]		
___________________________
Simulation Topology [1:12]
___________________________
From 	  To 		Length
___________________________
  0	 | 	4	 | 	18,03
  0	 | 	17	 | 	41,44
  0	 | 	22	 | 	53,00
  1	 | 	19	 | 	55,01
  1	 | 	27	 | 	76,42
  2	 | 	4	 | 	2,24
  2	 | 	6	 | 	5,00
  2	 | 	23	 | 	42,19
  2	 | 	28	 | 	22,47
  3	 | 	4	 | 	4,47
  3	 | 	5	 | 	2,24
  3	 | 	6	 | 	3,16
  3	 | 	13	 | 	19,24
  4	 | 	22	 | 	36,50
  5	 | 	7	 | 	4,24
  5	 | 	32	 | 	26,68
  6	 | 	8	 | 	8,54
  6	 | 	28	 | 	27,31
  7	 | 	8	 | 	3,16
  7	 | 	14	 | 	26,08
  8	 | 	29	 | 	18,03
  9	 | 	22	 | 	36,00
  9	 | 	24	 | 	50,16
  10	 | 	34	 | 	28,79
  11	 | 	20	 | 	26,68
  11	 | 	23	 | 	28,16
  11	 | 	30	 | 	37,70
  11	 | 	31	 | 	38,08
  12	 | 	34	 | 	37,66
  13	 | 	14	 | 	7,81
  13	 | 	15	 | 	8,94
  14	 | 	15	 | 	2,24
  15	 | 	16	 | 	4,12
  15	 | 	28	 | 	53,46
  16	 | 	19	 | 	7,21
  16	 | 	27	 | 	27,46
  16	 | 	30	 | 	50,70
  17	 | 	21	 | 	11,18
  17	 | 	28	 | 	46,39
  17	 | 	33	 | 	37,66
  18	 | 	20	 | 	2,00
  19	 | 	20	 | 	10,82
  19	 | 	21	 | 	8,25
  20	 | 	24	 | 	12,08
  21	 | 	25	 | 	16,55
  21	 | 	27	 | 	19,03
  22	 | 	23	 | 	5,00
  23	 | 	24	 | 	9,85
  24	 | 	25	 | 	3,00
  25	 | 	30	 | 	73,76
  26	 | 	27	 | 	5,39
  29	 | 	34	 | 	5,83
  32	 | 	33	 | 	7,28
  33	 | 	34	 | 	2,83
___________________________
Simulation Topology [1:13]
___________________________
From 	  To 		Length
___________________________
  0	 | 	4	 | 	18,03
  0	 | 	17	 | 	41,44
  0	 | 	22	 | 	53,00
  1	 | 	19	 | 	55,01
  1	 | 	27	 | 	76,42
  2	 | 	4	 | 	2,24
  2	 | 	6	 | 	5,00
  2	 | 	23	 | 	42,19
  2	 | 	28	 | 	22,47
  3	 | 	4	 | 	4,47
  3	 | 	5	 | 	2,24
  3	 | 	6	 | 	3,16
  3	 | 	13	 | 	19,24
  4	 | 	22	 | 	36,50
  5	 | 	7	 | 	4,24
  5	 | 	32	 | 	26,68
  6	 | 	8	 | 	8,54
  6	 | 	28	 | 	27,31
  7	 | 	8	 | 	3,16
  7	 | 	14	 | 	26,08
  8	 | 	29	 | 	18,03
  9	 | 	22	 | 	36,00
  9	 | 	24	 | 	50,16
  10	 | 	34	 | 	28,79
  11	 | 	20	 | 	26,68
  11	 | 	23	 | 	28,16
  11	 | 	30	 | 	37,70
  11	 | 	31	 | 	38,08
  12	 | 	34	 | 	37,66
  13	 | 	14	 | 	7,81
  13	 | 	15	 | 	8,94
  14	 | 	15	 | 	2,24
  15	 | 	16	 | 	4,12
  15	 | 	28	 | 	53,46
  16	 | 	19	 | 	7,21
  16	 | 	27	 | 	27,46
  16	 | 	30	 | 	50,70
  17	 | 	21	 | 	11,18
  17	 | 	28	 | 	46,39
  17	 | 	33	 | 	37,66
  18	 | 	20	 | 	2,00
  19	 | 	20	 | 	10,82
  19	 | 	21	 | 	8,25
  20	 | 	24	 | 	12,08
  21	 | 	25	 | 	16,55
  21	 | 	27	 | 	19,03
  22	 | 	23	 | 	5,00
  23	 | 	24	 | 	9,85
  24	 | 	25	 | 	3,00
  25	 | 	30	 | 	73,76
  26	 | 	27	 | 	5,39
  29	 | 	34	 | 	5,83
  32	 | 	33	 | 	7,28
  33	 | 	34	 | 	2,83
  26	 | 	31	 | 	73,17
___________________________
Simulation Topology [1:14]
___________________________
From 	  To 		Length
___________________________
  0	 | 	4	 | 	18,03
  0	 | 	17	 | 	41,44
  0	 | 	22	 | 	53,00
  1	 | 	19	 | 	55,01
  1	 | 	27	 | 	76,42
  2	 | 	4	 | 	2,24
  2	 | 	6	 | 	5,00
  2	 | 	23	 | 	42,19
  2	 | 	28	 | 	22,47
  3	 | 	4	 | 	4,47
  3	 | 	5	 | 	2,24
  3	 | 	6	 | 	3,16
  3	 | 	13	 | 	19,24
  4	 | 	22	 | 	36,50
  5	 | 	7	 | 	4,24
  5	 | 	32	 | 	26,68
  6	 | 	8	 | 	8,54
  6	 | 	28	 | 	27,31
  7	 | 	8	 | 	3,16
  7	 | 	14	 | 	26,08
  8	 | 	29	 | 	18,03
  9	 | 	22	 | 	36,00
  9	 | 	24	 | 	50,16
  10	 | 	34	 | 	28,79
  11	 | 	20	 | 	26,68
  11	 | 	23	 | 	28,16
  11	 | 	30	 | 	37,70
  11	 | 	31	 | 	38,08
  12	 | 	34	 | 	37,66
  13	 | 	14	 | 	7,81
  13	 | 	15	 | 	8,94
  14	 | 	15	 | 	2,24
  15	 | 	16	 | 	4,12
  15	 | 	28	 | 	53,46
  16	 | 	19	 | 	7,21
  16	 | 	27	 | 	27,46
  16	 | 	30	 | 	50,70
  17	 | 	21	 | 	11,18
  17	 | 	28	 | 	46,39
  17	 | 	33	 | 	37,66
  18	 | 	20	 | 	2,00
  19	 | 	20	 | 	10,82
  19	 | 	21	 | 	8,25
  20	 | 	24	 | 	12,08
  21	 | 	25	 | 	16,55
  21	 | 	27	 | 	19,03
  22	 | 	23	 | 	5,00
  23	 | 	24	 | 	9,85
  24	 | 	25	 | 	3,00
  25	 | 	30	 | 	73,76
  26	 | 	27	 | 	5,39
  29	 | 	34	 | 	5,83
  32	 | 	33	 | 	7,28
  33	 | 	34	 | 	2,83
  26	 | 	31	 | 	73,17
  5	 | 	26	 | 	43,05
___________________________
Simulation Topology [1:15]
___________________________
From 	  To 		Length
___________________________
  0	 | 	4	 | 	18,03
  0	 | 	17	 | 	41,44
  0	 | 	22	 | 	53,00
  1	 | 	19	 | 	55,01
  1	 | 	27	 | 	76,42
  2	 | 	4	 | 	2,24
  2	 | 	6	 | 	5,00
  2	 | 	23	 | 	42,19
  2	 | 	28	 | 	22,47
  3	 | 	4	 | 	4,47
  3	 | 	5	 | 	2,24
  3	 | 	6	 | 	3,16
  3	 | 	13	 | 	19,24
  4	 | 	22	 | 	36,50
  5	 | 	7	 | 	4,24
  5	 | 	32	 | 	26,68
  6	 | 	8	 | 	8,54
  6	 | 	28	 | 	27,31
