Simulation Topology 1
___________________________
Simulation Topology 2
___________________________
[7]				[7]		
[8]				[1]		
[5]				[0]		
[2]				[5]		
[2]				[1]		
[0]				[7]		
[6]				[4]		
[9]				[14]		
[0]				[15]		
[6]				[11]		
[6]				[31]		
[6]				[24]		
[2]				[31]		
[5]				[29]		
[0]				[25]		
[0]				[30]		
[3]				[25]		
[9]				[36]		
[1]				[33]		
[6]				[34]		
[9]				[33]		
[4]				[32]		
[6]				[38]		
[3]				[35]		
[0]				[39]		
[4]				[45]		
[2]				[50]		
[9]				[55]		
[5]				[55]		
[1]				[52]		
[6]				[52]		
[4]				[48]		
[7]				[49]		
[5]				[50]		
[8]				[59]		
[8]				[63]		
[6]				[66]		
[3]				[71]		
[1]				[65]		
[7]				[70]		
___________________________
Simulation Topology [2:2]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	6,08
  0	 | 	20	 | 	26,08
  0	 | 	27	 | 	48,04
  1	 | 	6	 | 	3,61
  1	 | 	8	 | 	16,12
  2	 | 	3	 | 	5,83
  2	 | 	4	 | 	3,16
  2	 | 	11	 | 	24,02
  3	 | 	12	 | 	26,00
  3	 | 	27	 | 	50,49
  4	 | 	24	 | 	38,05
  5	 | 	21	 | 	25,32
  5	 | 	28	 | 	48,26
  5	 | 	32	 | 	42,58
  7	 | 	8	 | 	9,06
  7	 | 	9	 | 	4,24
  7	 | 	14	 | 	14,21
  7	 | 	25	 | 	31,40
  8	 | 	21	 | 	17,46
  9	 | 	34	 | 	48,04
  10	 | 	16	 | 	6,71
  11	 | 	12	 | 	8,06
  11	 | 	15	 | 	8,49
  11	 | 	30	 | 	28,00
  12	 | 	19	 | 	5,00
  13	 | 	15	 | 	5,10
  13	 | 	17	 | 	8,06
  13	 | 	29	 | 	23,35
  15	 | 	16	 | 	5,83
  17	 | 	20	 | 	3,00
  18	 | 	23	 | 	2,83
  18	 | 	28	 | 	22,36
  19	 | 	24	 | 	7,81
  20	 | 	25	 | 	13,00
  21	 | 	22	 | 	6,32
  23	 | 	38	 | 	30,07
  24	 | 	31	 | 	9,85
  26	 | 	29	 | 	2,24
  26	 | 	30	 | 	4,47
  27	 | 	39	 | 	15,13
  28	 | 	31	 | 	7,07
  29	 | 	31	 | 	5,00
  30	 | 	32	 | 	3,16
  33	 | 	34	 | 	9,49
  33	 | 	35	 | 	13,34
  35	 | 	36	 | 	3,61
  37	 | 	38	 | 	6,32
___________________________
Simulation Topology [2:3]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	6,08
  0	 | 	20	 | 	26,08
  0	 | 	27	 | 	48,04
