Simulation Topology 1
___________________________
[4]				[9]		
[1]				[3]		
[8]				[7]		
[3]				[1]		
[7]				[2]		
[7]				[4]		
[9]				[5]		
[0]				[1]		
[0]				[9]		
[1]				[11]		
[1]				[18]		
[1]				[13]		
[5]				[17]		
[4]				[14]		
[2]				[22]		
[7]				[38]		
[4]				[30]		
[1]				[36]		
[3]				[32]		
[5]				[32]		
[8]				[46]		
[4]				[45]		
[6]				[46]		
[2]				[46]		
[0]				[42]		
[3]				[55]		
[4]				[53]		
[2]				[59]		
[6]				[56]		
[3]				[57]		
[0]				[54]		
[9]				[54]		
[8]				[58]		
[1]				[62]		
[6]				[67]		
[3]				[67]		
[7]				[63]		
[6]				[61]		
[6]				[69]		
[1]				[65]		
[5]				[64]		
[8]				[65]		
[4]				[69]		
[5]				[71]		
[4]				[78]		
___________________________
Simulation Topology [1:20]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	6,71
  0	 | 	5	 | 	5,83
  0	 | 	9	 | 	3,61
  0	 | 	29	 | 	48,01
  0	 | 	36	 | 	54,08
  1	 | 	7	 | 	2,24
  1	 | 	13	 | 	11,40
  1	 | 	17	 | 	33,00
  1	 | 	25	 | 	52,04
  2	 | 	4	 | 	5,10
  2	 | 	6	 | 	2,24
  2	 | 	21	 | 	38,21
  2	 | 	22	 | 	39,05
  3	 | 	4	 | 	4,12
  3	 | 	5	 | 	5,00
  3	 | 	13	 | 	13,04
  3	 | 	24	 | 	41,11
  3	 | 	31	 | 	53,34
  4	 | 	23	 | 	44,28
  4	 | 	43	 | 	69,03
  5	 | 	36	 | 	59,00
  6	 | 	18	 | 	27,66
  6	 | 	25	 | 	50,36
  6	 | 	29	 | 	52,35
  6	 | 	33	 | 	57,56
  7	 | 	8	 | 	8,00
  7	 | 	12	 | 	16,76
  7	 | 	22	 | 	45,40
  8	 | 	20	 | 	37,85
  9	 | 	12	 | 	7,21
  9	 | 	14	 | 	11,05
  9	 | 	22	 | 	35,36
  9	 | 	28	 | 	45,28
