Simulation Topology 1
___________________________
[5]				[4]		
[3]				[2]		
[9]				[5]		
[1]				[3]		
[9]				[8]		
[7]				[29]		
[4]				[20]		
[7]				[22]		
[4]				[22]		
[2]				[29]		
[9]				[35]		
[5]				[37]		
[2]				[37]		
[0]				[31]		
[9]				[39]		
[8]				[31]		
[5]				[33]		
[0]				[34]		
[6]				[39]		
[4]				[30]		
[6]				[31]		
[7]				[43]		
[4]				[43]		
[7]				[45]		
[0]				[47]		
[9]				[44]		
[0]				[42]		
[5]				[48]		
[2]				[42]		
[0]				[45]		
[5]				[45]		
[2]				[48]		
[5]				[58]		
[5]				[56]		
[0]				[58]		
[4]				[51]		
[0]				[66]		
[0]				[68]		
[8]				[60]		
[4]				[68]		
[3]				[65]		
[7]				[65]		
[9]				[65]		
[1]				[63]		
[7]				[62]		
[5]				[77]		
[6]				[73]		
[8]				[73]		
[1]				[71]		
[3]				[72]		
___________________________
Simulation Topology [1:8]
___________________________
From 	  To 		Length
___________________________
  0	 | 	2	 | 	4,12
  0	 | 	16	 | 	29,00
  0	 | 	28	 | 	38,12
  1	 | 	3	 | 	2,24
  1	 | 	9	 | 	27,02
  1	 | 	42	 | 	63,29
  2	 | 	44	 | 	57,04
  2	 | 	45	 | 	72,11
  3	 | 	4	 | 	9,43
  3	 | 	49	 | 	69,03
  4	 | 	9	 | 	22,14
  4	 | 	13	 | 	24,70
  5	 | 	15	 | 	2,24
  5	 | 	19	 | 	3,16
  5	 | 	20	 | 	2,24
  6	 | 	7	 | 	3,61
  6	 | 	8	 | 	2,00
  6	 | 	19	 | 	10,00
  7	 | 	8	 | 	3,00
  7	 | 	15	 | 	9,06
  10	 | 	13	 | 	9,85
  10	 | 	27	 | 	13,60
  11	 | 	17	 | 	5,83
  11	 | 	20	 | 	6,08
  11	 | 	26	 | 	7,07
  12	 | 	13	 | 	6,32
  12	 | 	22	 | 	6,32
  12	 | 	26	 | 	5,39
  14	 | 	17	 | 	10,30
  14	 | 	20	 | 	8,54
  14	 | 	34	 | 	21,02
  15	 | 	41	 | 	34,01
  16	 | 	24	 | 	14,87
  17	 | 	28	 | 	8,25
  18	 | 	19	 | 	9,22
  18	 | 	22	 | 	4,47
  18	 | 	25	 | 	5,83
  21	 | 	22	 | 	3,00
  21	 | 	23	 | 	2,00
  21	 | 	42	 | 	22,09
  23	 | 	25	 | 	2,24
  24	 | 	35	 | 	5,66
  24	 | 	37	 | 	21,00
  25	 | 	35	 | 	8,60
  27	 | 	30	 | 	3,00
  27	 | 	33	 | 	8,00
  28	 | 	29	 | 	3,61
  29	 | 	30	 | 	5,00
  29	 | 	31	 | 	3,61
  30	 | 	31	 | 	4,24
  31	 | 	33	 | 	8,54
  32	 | 	38	 | 	3,61
  32	 | 	41	 | 	7,28
  33	 | 	38	 | 	5,00
  34	 | 	36	 | 	8,00
  34	 | 	43	 | 	5,10
  35	 | 	43	 | 	12,37
  36	 | 	48	 | 	5,10
  36	 | 	49	 | 	6,71
  37	 | 	46	 | 	7,81
  37	 | 	49	 | 	5,00
  39	 | 	40	 | 	3,16
  39	 | 	44	 | 	6,71
  40	 | 	43	 | 	2,83
  40	 | 	44	 | 	5,00
  41	 | 	48	 | 	8,49
  42	 | 	48	 | 	10,00
  45	 | 	46	 | 	4,12
  45	 | 	47	 | 	5,00
  46	 | 	47	 | 	2,00
___________________________
Simulation Topology [1:9]
___________________________
From 	  To 		Length
___________________________
  0	 | 	2	 | 	4,12
  0	 | 	16	 | 	29,00
  0	 | 	28	 | 	38,12
  1	 | 	3	 | 	2,24
  1	 | 	9	 | 	27,02
  1	 | 	42	 | 	63,29
  2	 | 	44	 | 	57,04
  2	 | 	45	 | 	72,11
  3	 | 	4	 | 	9,43
  3	 | 	49	 | 	69,03
  4	 | 	9	 | 	22,14
  4	 | 	13	 | 	24,70
  5	 | 	15	 | 	2,24
  5	 | 	19	 | 	3,16
  5	 | 	20	 | 	2,24
  6	 | 	7	 | 	3,61
  6	 | 	8	 | 	2,00
  6	 | 	19	 | 	10,00
  7	 | 	8	 | 	3,00
  7	 | 	15	 | 	9,06
  10	 | 	13	 | 	9,85
  10	 | 	27	 | 	13,60
  11	 | 	17	 | 	5,83
  11	 | 	20	 | 	6,08
  11	 | 	26	 | 	7,07
  12	 | 	13	 | 	6,32
  12	 | 	22	 | 	6,32
  12	 | 	26	 | 	5,39
  14	 | 	17	 | 	10,30
  14	 | 	20	 | 	8,54
  14	 | 	34	 | 	21,02
  15	 | 	41	 | 	34,01
  16	 | 	24	 | 	14,87
  17	 | 	28	 | 	8,25
  18	 | 	19	 | 	9,22
  18	 | 	22	 | 	4,47
  18	 | 	25	 | 	5,83
  21	 | 	22	 | 	3,00
  21	 | 	23	 | 	2,00
  21	 | 	42	 | 	22,09
  23	 | 	25	 | 	2,24
  24	 | 	35	 | 	5,66
  24	 | 	37	 | 	21,00
  25	 | 	35	 | 	8,60
  27	 | 	30	 | 	3,00
  27	 | 	33	 | 	8,00
  28	 | 	29	 | 	3,61
  29	 | 	30	 | 	5,00
  29	 | 	31	 | 	3,61
  30	 | 	31	 | 	4,24
  31	 | 	33	 | 	8,54
  32	 | 	38	 | 	3,61
  32	 | 	41	 | 	7,28
  33	 | 	38	 | 	5,00
  34	 | 	36	 | 	8,00
  34	 | 	43	 | 	5,10
  35	 | 	43	 | 	12,37
  36	 | 	48	 | 	5,10
  36	 | 	49	 | 	6,71
  37	 | 	46	 | 	7,81
  37	 | 	49	 | 	5,00
  39	 | 	40	 | 	3,16
  39	 | 	44	 | 	6,71
  40	 | 	43	 | 	2,83
  40	 | 	44	 | 	5,00
  41	 | 	48	 | 	8,49
  42	 | 	48	 | 	10,00
  45	 | 	46	 | 	4,12
  45	 | 	47	 | 	5,00
  46	 | 	47	 | 	2,00
  8	 | 	39	 | 	46,00
___________________________
Simulation Topology [1:10]
___________________________
From 	  To 		Length
___________________________
  0	 | 	2	 | 	4,12
  0	 | 	16	 | 	29,00
  0	 | 	28	 | 	38,12
  1	 | 	3	 | 	2,24
  1	 | 	9	 | 	27,02
  1	 | 	42	 | 	63,29
  2	 | 	44	 | 	57,04
  2	 | 	45	 | 	72,11
  3	 | 	4	 | 	9,43
  3	 | 	49	 | 	69,03
  4	 | 	9	 | 	22,14
  4	 | 	13	 | 	24,70
  5	 | 	15	 | 	2,24
  5	 | 	19	 | 	3,16
  5	 | 	20	 | 	2,24
  6	 | 	7	 | 	3,61
  6	 | 	8	 | 	2,00
  6	 | 	19	 | 	10,00
  7	 | 	8	 | 	3,00
  7	 | 	15	 | 	9,06
  10	 | 	13	 | 	9,85
  10	 | 	27	 | 	13,60
  11	 | 	17	 | 	5,83
  11	 | 	20	 | 	6,08
  11	 | 	26	 | 	7,07
  12	 | 	13	 | 	6,32
  12	 | 	22	 | 	6,32
  12	 | 	26	 | 	5,39
  14	 | 	17	 | 	10,30
  14	 | 	20	 | 	8,54
  14	 | 	34	 | 	21,02
  15	 | 	41	 | 	34,01
  16	 | 	24	 | 	14,87
  17	 | 	28	 | 	8,25
  18	 | 	19	 | 	9,22
  18	 | 	22	 | 	4,47
  18	 | 	25	 | 	5,83
  21	 | 	22	 | 	3,00
  21	 | 	23	 | 	2,00
  21	 | 	42	 | 	22,09
  23	 | 	25	 | 	2,24
  24	 | 	35	 | 	5,66
  24	 | 	37	 | 	21,00
  25	 | 	35	 | 	8,60
  27	 | 	30	 | 	3,00
  27	 | 	33	 | 	8,00
  28	 | 	29	 | 	3,61
  29	 | 	30	 | 	5,00
  29	 | 	31	 | 	3,61
  30	 | 	31	 | 	4,24
  31	 | 	33	 | 	8,54
  32	 | 	38	 | 	3,61
  32	 | 	41	 | 	7,28
  33	 | 	38	 | 	5,00
  34	 | 	36	 | 	8,00
  34	 | 	43	 | 	5,10
  35	 | 	43	 | 	12,37
  36	 | 	48	 | 	5,10
  36	 | 	49	 | 	6,71
  37	 | 	46	 | 	7,81
  37	 | 	49	 | 	5,00
  39	 | 	40	 | 	3,16
  39	 | 	44	 | 	6,71
  40	 | 	43	 | 	2,83
  40	 | 	44	 | 	5,00
  41	 | 	48	 | 	8,49
  42	 | 	48	 | 	10,00
  45	 | 	46	 | 	4,12
  45	 | 	47	 | 	5,00
  46	 | 	47	 | 	2,00
  8	 | 	39	 | 	46,00
  38	 | 	47	 | 	13,00
___________________________
Simulation Topology [1:11]
___________________________
From 	  To 		Length
___________________________
